รหัสเขต,รหัสโรงเรียน,ประเภท,รวม
2564-3,86010001,นักเรียนจบทั้งหมด,11
2564-3,86010001,โรงเรียนเดิม,0
2564-3,86010001,โรงเรียนอื่น สังกัด สพฐ.,11
2564-3,86010001,โรงเรียนสังกัดเอกชน,0
2564-3,86010001,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010001,กศน.,0
2564-3,86010001,อื่น ๆ,0
2564-3,86010001,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010002,นักเรียนจบทั้งหมด,15
2564-3,86010002,โรงเรียนเดิม,11
2564-3,86010002,โรงเรียนอื่น สังกัด สพฐ.,4
2564-3,86010002,โรงเรียนสังกัดเอกชน,0
2564-3,86010002,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010002,กศน.,0
2564-3,86010002,อื่น ๆ,0
2564-3,86010002,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010004,นักเรียนจบทั้งหมด,7
2564-3,86010004,โรงเรียนเดิม,0
2564-3,86010004,โรงเรียนอื่น สังกัด สพฐ.,5
2564-3,86010004,โรงเรียนสังกัดเอกชน,0
2564-3,86010004,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010004,กศน.,0
2564-3,86010004,อื่น ๆ,2
2564-3,86010004,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010006,นักเรียนจบทั้งหมด,17
2564-3,86010006,โรงเรียนเดิม,16
2564-3,86010006,โรงเรียนอื่น สังกัด สพฐ.,1
2564-3,86010006,โรงเรียนสังกัดเอกชน,0
2564-3,86010006,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010006,กศน.,0
2564-3,86010006,อื่น ๆ,0
2564-3,86010006,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010008,นักเรียนจบทั้งหมด,264
2564-3,86010008,โรงเรียนเดิม,0
2564-3,86010008,โรงเรียนอื่น สังกัด สพฐ.,238
2564-3,86010008,โรงเรียนสังกัดเอกชน,13
2564-3,86010008,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010008,กศน.,0
2564-3,86010008,อื่น ๆ,0
2564-3,86010008,โรงเรียนอื่น สังกัด อบท.,13
2564-3,86010009,นักเรียนจบทั้งหมด,16
2564-3,86010009,โรงเรียนเดิม,14
2564-3,86010009,โรงเรียนอื่น สังกัด สพฐ.,2
2564-3,86010009,โรงเรียนสังกัดเอกชน,0
2564-3,86010009,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010009,กศน.,0
2564-3,86010009,อื่น ๆ,0
2564-3,86010009,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010010,นักเรียนจบทั้งหมด,56
2564-3,86010010,โรงเรียนเดิม,45
2564-3,86010010,โรงเรียนอื่น สังกัด สพฐ.,11
2564-3,86010010,โรงเรียนสังกัดเอกชน,0
2564-3,86010010,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010010,กศน.,0
2564-3,86010010,อื่น ๆ,0
2564-3,86010010,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010011,นักเรียนจบทั้งหมด,9
2564-3,86010011,โรงเรียนเดิม,0
2564-3,86010011,โรงเรียนอื่น สังกัด สพฐ.,6
2564-3,86010011,โรงเรียนสังกัดเอกชน,0
2564-3,86010011,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010011,กศน.,0
2564-3,86010011,อื่น ๆ,2
2564-3,86010011,โรงเรียนอื่น สังกัด อบท.,1
2564-3,86010013,นักเรียนจบทั้งหมด,15
2564-3,86010013,โรงเรียนเดิม,0
2564-3,86010013,โรงเรียนอื่น สังกัด สพฐ.,14
2564-3,86010013,โรงเรียนสังกัดเอกชน,0
2564-3,86010013,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010013,กศน.,0
2564-3,86010013,อื่น ๆ,1
2564-3,86010013,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010014,นักเรียนจบทั้งหมด,7
2564-3,86010014,โรงเรียนเดิม,0
2564-3,86010014,โรงเรียนอื่น สังกัด สพฐ.,6
2564-3,86010014,โรงเรียนสังกัดเอกชน,0
2564-3,86010014,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010014,กศน.,0
2564-3,86010014,อื่น ๆ,1
2564-3,86010014,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010015,นักเรียนจบทั้งหมด,13
2564-3,86010015,โรงเรียนเดิม,0
2564-3,86010015,โรงเรียนอื่น สังกัด สพฐ.,12
2564-3,86010015,โรงเรียนสังกัดเอกชน,1
2564-3,86010015,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010015,กศน.,0
2564-3,86010015,อื่น ๆ,0
2564-3,86010015,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010016,นักเรียนจบทั้งหมด,16
2564-3,86010016,โรงเรียนเดิม,0
2564-3,86010016,โรงเรียนอื่น สังกัด สพฐ.,0
2564-3,86010016,โรงเรียนสังกัดเอกชน,0
2564-3,86010016,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010016,กศน.,0
2564-3,86010016,อื่น ๆ,16
2564-3,86010016,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010017,นักเรียนจบทั้งหมด,12
2564-3,86010017,โรงเรียนเดิม,12
2564-3,86010017,โรงเรียนอื่น สังกัด สพฐ.,0
2564-3,86010017,โรงเรียนสังกัดเอกชน,0
2564-3,86010017,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010017,กศน.,0
2564-3,86010017,อื่น ๆ,0
2564-3,86010017,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010019,นักเรียนจบทั้งหมด,13
2564-3,86010019,โรงเรียนเดิม,0
2564-3,86010019,โรงเรียนอื่น สังกัด สพฐ.,13
2564-3,86010019,โรงเรียนสังกัดเอกชน,0
2564-3,86010019,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010019,กศน.,0
2564-3,86010019,อื่น ๆ,0
2564-3,86010019,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010020,นักเรียนจบทั้งหมด,9
2564-3,86010020,โรงเรียนเดิม,0
2564-3,86010020,โรงเรียนอื่น สังกัด สพฐ.,9
2564-3,86010020,โรงเรียนสังกัดเอกชน,0
2564-3,86010020,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010020,กศน.,0
2564-3,86010020,อื่น ๆ,0
2564-3,86010020,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010021,นักเรียนจบทั้งหมด,181
2564-3,86010021,โรงเรียนเดิม,87
